source,reporter,partner,period,cmdCode,cmdDesc,flowCode,qty_kg,netWgt_kg,value_usd,qtyUnitCode
Guatemala_Export,Guatemala,Honduras,2021,0908,"Nutmeg, mace and cardamoms",X,3351.235,3351.235,20968.0,8
Guatemala_Export,Guatemala,Honduras,2020,0908,"Nutmeg, mace and cardamoms",X,21536.0,21536.0,16803.0,8
Guatemala_Export,Guatemala,Honduras,2019,0908,"Nutmeg, mace and cardamoms",X,13559.0,13559.0,11800.0,8
Guatemala_Export,Guatemala,Honduras,2022,0908,"Nutmeg, mace and cardamoms",X,36224.006,36224.006,27094.0,8
Guatemala_Export,Guatemala,Honduras,2014,0908,"Nutmeg, mace and cardamoms",X,2826.0,2826.0,22228.0,8
Guatemala_Export,Guatemala,Honduras,2016,0908,"Nutmeg, mace and cardamoms",X,60447.0,60447.0,27955.0,8
Guatemala_Export,Guatemala,Honduras,2023,0908,"Nutmeg, mace and cardamoms",X,21812.0,21812.0,27116.0,8
Guatemala_Export,Guatemala,Honduras,2024,0908,"Nutmeg, mace and cardamoms",X,22816.0,22816.0,39629.0,8
Guatemala_Export,Guatemala,Honduras,2015,0908,"Nutmeg, mace and cardamoms",X,2296.0,2296.0,20258.0,8
Guatemala_Export,Guatemala,Hungary,2014,0908,"Nutmeg, mace and cardamoms",X,80.0,80.0,218.0,8
Guatemala_Export,Guatemala,Indonesia,2022,0908,"Nutmeg, mace and cardamoms",X,15050.0,15050.0,170677.0,8
Guatemala_Export,Guatemala,Indonesia,2017,0908,"Nutmeg, mace and cardamoms",X,10800.0,10800.0,115481.0,8
Guatemala_Export,Guatemala,Indonesia,2014,0908,"Nutmeg, mace and cardamoms",X,10040.0,10040.0,13500.0,8
Guatemala_Export,Guatemala,Indonesia,2020,0908,"Nutmeg, mace and cardamoms",X,21600.0,21600.0,370000.0,8
Guatemala_Export,Guatemala,Indonesia,2016,0908,"Nutmeg, mace and cardamoms",X,21674.0,21674.0,126374.0,8
