date,actual_avg_price_inr_per_kg,predicted_avg_price_inr_per_kg,model_run_date,horizon_days,model_version
2017-10-05,986.8199999999999,,,,
2017-10-06,957.355,,,,
2017-10-07,955.72,,,,
2017-10-09,932.095,,,,
2017-10-10,891.9,,,,
2017-10-11,905.8199999999999,,,,
2017-10-12,915.8,,,,
2017-10-13,909.55,,,,
2017-10-14,903.655,,,,
2017-10-16,893.95,,,,
2017-10-17,915.605,,,,
2017-10-20,908.9100000000001,,,,
2017-10-21,900.685,,,,
2017-10-23,904.9200000000001,,,,
2017-10-24,922.39,,,,
2017-10-25,905.0799999999999,,,,
2017-10-26,905.6949999999999,,,,
2017-10-27,886.53,,,,
2017-10-28,889.26,,,,
2017-10-30,873.19,,,,
2017-10-31,848.395,,,,
2017-11-01,847.585,,,,
2017-11-02,787.15,,,,
2017-11-03,774.1700000000001,,,,
2017-11-04,827.17,,,,
2017-11-06,798.55,,,,
2017-11-07,799.72,,,,
2017-11-08,800.665,,,,
2017-11-09,829.845,,,,
2017-11-10,844.61,,,,
2017-11-11,855.71,,,,
2017-11-13,827.8199999999999,,,,
2017-11-14,833.255,,,,
2017-11-15,866.0,,,,
2017-11-16,892.79,,,,
2017-11-17,911.675,,,,
2017-11-18,903.095,,,,
2017-11-20,869.01,,,,
2017-11-21,883.895,,,,
2017-11-22,899.0,,,,
2017-11-23,908.625,,,,
2017-11-24,912.03,,,,
2017-11-25,898.96,,,,
2017-11-27,867.54,,,,
2017-11-28,851.4749999999999,,,,
2017-11-29,868.24,,,,
2017-11-30,850.53,,,,
2017-12-01,847.435,,,,
2017-12-02,854.76,,,,
2017-12-04,881.02,,,,
2017-12-05,903.2950000000001,,,,
2017-12-06,895.7,,,,
2017-12-07,878.665,,,,
2017-12-08,860.81,,,,
2017-12-09,867.515,,,,
2017-12-11,877.105,,,,
2017-12-12,891.23,,,,
2017-12-13,929.905,,,,
2017-12-14,916.12,,,,
2017-12-15,906.3266666666667,,,,
2017-12-16,921.905,,,,
2017-12-18,935.62,,,,
2017-12-19,929.295,,,,
2017-12-20,952.035,,,,
2017-12-21,934.03,,,,
2017-12-22,928.6700000000001,,,,
2017-12-23,938.27,,,,
2017-12-26,934.575,,,,
2017-12-28,926.4300000000001,,,,
2017-12-29,943.1600000000001,,,,
2017-12-30,960.675,,,,
2018-01-01,969.165,,,,
2018-01-02,953.45,,,,
2018-01-03,974.735,,,,
2018-01-04,952.3299999999999,,,,
2018-01-05,959.735,,,,
2018-01-06,967.13,,,,
2018-01-08,953.865,,,,
2018-01-09,958.9649999999999,,,,
2018-01-10,967.02,,,,
2018-01-11,932.6600000000001,,,,
2018-01-12,949.9649999999999,,,,
2018-01-13,962.435,,,,
2018-01-15,929.54,,,,
2018-01-16,947.9749999999999,,,,
2018-01-17,960.0,,,,
2018-01-18,942.28,,,,
2018-01-19,949.085,,,,
2018-01-20,953.3599999999999,,,,
2018-01-22,946.92,,,,
2018-01-23,976.59,,,,
2018-01-24,968.1566666666668,,,,
2018-01-25,963.4449999999999,,,,
2018-01-27,982.075,,,,
2018-01-29,989.61,,,,
2018-01-30,1021.41,,,,
2018-01-31,1062.775,,,,
2018-02-01,1015.24,,,,
2018-02-02,1010.005,,,,
2018-02-03,998.275,,,,
2018-02-05,969.165,,,,
2018-02-06,1003.2349999999999,,,,
2018-02-07,995.06,,,,
2018-02-08,997.375,,,,
2018-02-09,992.47,,,,
2018-02-10,982.61,,,,
2018-02-12,971.48,,,,
2018-02-13,989.63,,,,
2018-02-14,972.005,,,,
2018-02-15,982.345,,,,
2018-02-16,975.835,,,,
2018-02-17,984.23,,,,
2018-02-19,985.455,,,,
2018-02-20,992.09,,,,
2018-02-21,986.9300000000001,,,,
2018-02-22,969.88,,,,
2018-02-23,976.235,,,,
2018-02-24,969.73,,,,
2018-02-26,950.1500000000001,,,,
2018-02-27,952.74,,,,
2018-02-28,943.525,,,,
2018-03-01,941.81,,,,
2018-03-02,942.68,,,,
2018-03-03,949.94,,,,
2018-03-05,958.9549999999999,,,,
2018-03-06,988.575,,,,
2018-03-07,1000.77,,,,
2018-03-08,968.145,,,,
2018-03-09,976.16,,,,
2018-03-10,948.27,,,,
2018-03-12,931.5999999999999,,,,
2018-03-13,952.835,,,,
2018-03-14,962.65,,,,
2018-03-15,952.37,,,,
2018-03-16,963.68,,,,
2018-03-17,928.99,,,,
2018-03-19,935.9,,,,
2018-03-20,963.25,,,,
2018-03-21,951.09,,,,
2018-03-22,954.37,,,,
2018-03-23,919.42,,,,
2018-03-24,911.97,,,,
2018-03-26,899.095,,,,
2018-03-27,928.4549999999999,,,,
2018-03-29,939.085,,,,
2018-04-02,959.475,,,,
2018-04-03,962.135,,,,
2018-04-04,984.585,,,,
2018-04-05,969.15,,,,
2018-04-06,472.45,,,,
2018-04-07,943.655,,,,
2018-04-09,931.0,,,,
2018-04-10,942.1500000000001,,,,
2018-04-11,943.165,,,,
2018-04-12,931.115,,,,
2018-04-16,906.1949999999999,,,,
2018-04-17,896.83,,,,
2018-04-18,889.84,,,,
2018-04-19,876.45,,,,
2018-04-20,945.59,,,,
2018-04-21,881.665,,,,
2018-04-23,867.565,,,,
2018-04-24,911.2249999999999,,,,
2018-04-25,900.62,,,,
2018-04-26,885.395,,,,
2018-04-27,907.1,,,,
2018-04-28,832.445,,,,
